entity,target_lang,translation
Dmitri Shostakovich,ko,드미트리 쇼스타코비치
Armenia,ko,아르메니아
Battle of the Hornburg,ko,나팔산성 전투
Hornburg,ko,Hornburg
Mission of Gravity,ko,Mission of Gravity
Voynich manuscript,ko,보이니치 문서
Ancillary Mercy,ko,Ancillary Mercy
Umayyad Mosque,ko,우마이야 모스크
Webster's Dictionary,ko,웹스터 사전
silver standard,ko,은본위제
gold standard,ko,금본위제
newspaper delivery person,ko,신문 배달
Ancient Olympic Games,ko,고대 올림픽
ancient music,ko,고대의 서양 고전 음악
music,ko,뮤직브레인즈
Dumbledore's Army,ko,덤블도어의 군대
All About My Mom,ko,산옥씨네 삼남매
J.R.R. Tolkien,ko,J. R. R. 톨킨
One Ring,ko,절대 반지
My Beautiful Bride,ko,아름다운 나의 신부
South Korean,ko,대한민국 축구 국가대표팀
BnF,ko,프랑스 국립도서관
North Macedonia,ko,북마케도니아
Piano Sonata No. 9,ko,피아노 소나타 9번
Emblem of Togo,ko,토고의 국장
Togo,ko,토고
Better Late Than Never,ko,Better Late Than Never
The Circular Ruins,ko,원형의 폐허들
This One Summer,ko,그해 여름
President of Russia,ko,러시아의 대통령
Zografou Monastery,ko,조그라프 수도원
Going Bananas,ko,바나나 대소동
Paro Taktsang,ko,파로 탁상
Symphony No. 3,ko,교향곡 3번
split pea,ko,완두 짜개
pea,ko,완두
Symphony No. 38,ko,교향곡 38번
Nīlakantha,ko,닐라칸타 소마야지
Nīlakantha dhāranī,ko,신묘장구대다라니
Mahayana Buddhism,ko,대승불교
Symphony No. 4,ko,Symphony No. 4
Mendelssohn,ko,펠릭스 멘델스존
Putra Mosque,ko,푸트라 모스크
Malaysia,ko,말레이시아
Colombia,ko,콜롬비아
Symphony No. 5,ko,교향곡 5번(베토벤)
Shostakovich,ko,드미트리 쇼스타코비치
Symphony No. 6,ko,교향곡 6번 (베토벤)
Blow Breeze,ko,불어라 미풍아
Android 17,ko,인조인간 17호
Dragon Ball,ko,드래곤볼
Julie's Greenroom,ko,줄리의 그린룸
Radisson Royal Hotel,ko,호텔 우크라이나
Moscow,ko,모스크바
Symphony No. 7,ko,교향곡 7번
Bruckner,ko,Bruckner
Grigory Petrovsky,ko,그리고리 페트롭스키
Soviet Union,ko,소련
The Star,ko,항성
Tomb of Cyrus the Great,ko,키루스의 무덤
Cyrus the Great,ko,키루스 2세 보졸그
The Old Man and the Sea,ko,노인과 바다
Masha and the Bear,ko,마샤와 곰
Symphony No. 8,ko,Symphony No. 8
Hygiene,ko,위생
Hygiene and the Assassin,ko,살인자의 건강법
the Assassin,ko,니나
Timon of Phlius,ko,티몬
Phlius,ko,Phlius
Timon,ko,Timon
Iron Spider,ko,Iron Spider
Spider-Man,ko,스파이더맨
Iron Spider armor,ko,Iron Spider armor
Marvel Universe,ko,마블 유니버스
Cloudy with a Chance of Meatballs: The Series,ko,하늘에서 음식이 내린다면
Canadian-American,ko,Canadian-American
condensed milk,ko,연유
regular milk,ko,regular milk
The Thibaults,ko,티보가의 사람들
Roman-fleuve,ko,대하소설
Fathers and Sons,ko,아버지와 아들
Ivan Turgenev,ko,이반 투르게네프
Seleucus V Philometor,ko,셀레우코스 5세
My Golden Life,ko,황금빛 내 인생
Al-Azhar Mosque,ko,알아즈하르 모스크
Egypt,ko,이집트
Islamic Cairo,ko,Islamic Cairo
Kirsan Ilyumzhinov,ko,키르산 일륨지노프
Axis,ko,액시스사슴속
World War II,ko,제2차 세계 대전
The Day of the Ants,ko,개미의 날
The Little Prince,ko,어린 왕자
Living Lightning,ko,리빙 라이트닝
Marvel Comics,ko,마블 코믹스
Ptolemy X Alexander,ko,프톨레마이오스 10세
Ptolemy X Alexander I,ko,프톨레마이오스 10세
Ptolemy X,ko,프톨레마이오스 10세
Alexander I,ko,알렉산드르 1세
Tawang Monastery,ko,타왕 사원
India,ko,인도
"A Cool, Dry Place",ko,때로는 모든 걸 잃어볼 필요가 있다
Sergio Rochet,ko,세르히오 로체트
corn starch,ko,옥수수 녹말
Sonatina in G major,ko,소나티나 사장조
Beethoven,ko,루트비히 판 베토벤
Specters of Marx,ko,마르크스의 유령들
white cabbage,ko,white cabbage
John I of Aragon,ko,추안 1세
Brief Interviews with Hideous Men,ko,추악한 남자들과의 짧은 인터뷰
Pharnavaz I,ko,파르나바즈 1세
Iberia,ko,이베리아 항공
Alexey Smertin,ko,알렉세이 스메르틴
Russian national team,ko,Russian national team
Salisbury Cathedral,ko,솔즈베리 대성당
Ryu,ko,류
Cave Boy,ko,Cave Boy
Mischievous Twins: The Tales of St. Clare's,ko,쌍둥이 대소동
St. Clare's,ko,St. Clare's
Mischievous Twins,ko,쌍둥이 대소동
Kazan Cathedral,ko,카잔 성당
John the Baptist,ko,세례자 요한
Men Without Women,ko,여자 없는 남자들
Sunrise: A Song of Two Humans,ko,선라이즈
Sunrise,ko,선라이즈
Vaster than Empires and More Slow,ko,제국보다 광대하고 더욱 느리게
Empires and More Slow,ko,Empires and More Slow
Dune Messiah,ko,듄의 메시아
Frank Herbert,ko,프랭크 허버트
Embassy of Estonia,ko,Embassy of Estonia
Estonia,ko,에스토니아
Evagrius Ponticus,ko,폰토스의 에바그리오스
My Sweet City,ko,달콤한 나의 도시
South Korea,ko,대한민국
Quiet Night Thought,ko,정야사
Li Bai,ko,이백
The Robots of Dawn,ko,The Robots of Dawn
Grieg,ko,Grieg
Piano Concerto,ko,피아노 협주곡
The Smurfs,ko,개구쟁이 스머프
The Smurfs movie,ko,개구쟁이 스머프
Yellow Crane Tower,ko,황학루
Nina and the Neurons,ko,헬로키즈 공학교실
British,ko,웨일스어
The Secret History of the Mongols,ko,몽골비사
Mongolia,ko,몽골
Pretty Sister Who Buys Me Food,ko,밥 잘 사주는 예쁜 누나
Epistle to the Romans,ko,로마 신자들에게 보낸 서간
The Merchant of Joseon,ko,상도
Joseon,ko,조선
The Accidental Couple,ko,그저 바라보다가
The Miracle We Met,ko,우리가 만난 기적
Aleppo,ko,알레포
On Wings of Song,ko,On Wings of Song
Nathan Garrett,ko,네이선 개릿
Couple,ko,부부
Trouble,ko,Trouble
Couple or Trouble,ko,환상의 커플
Love in the Time of Cholera,ko,콜레라 시대의 사랑
Adhemar of Le Puy,ko,아데마르
French history,ko,프랑스의 역사
Le Puy,ko,르피앙블레
Father of a Soldier,ko,병사의 아버지
Fatal Attraction,ko,Fatal Attraction
Montreal,ko,몬트리올
Vongola family,ko,봉고레 패밀리
The Shadow of the Wind,ko,바람의 그림자
Ebony Blade,ko,흑단검
Four,ko,Four
Four Perils,ko,사흉
Chinese,ko,중국어
Crimson Avenger,ko,Crimson Avenger
The Devil Came at Night,ko,"나이츠, 웬 더 데빌 케임"
Phantom,ko,Phantom
Heilbronn,ko,하일브론
Phantom of Heilbronn,ko,하일브론의 유령
Marching Orders,ko,와일드캣츠여 행군하라
Three Jewel Temples,ko,삼보사찰
Korea,ko,한국어 위키백과
King Wu of Qin,ko,진 무왕
Qin Dynasty,ko,진나라
Qin,ko,라모트리진
Room No. 9,ko,Room No. 9
So I Married an Anti-fan,ko,그래서 나는 안티팬과 결혼했다 (드라마)
Rudolph,ko,Rudolph
Duke of Lorraine,ko,Duke of Lorraine
Prussia,ko,프로이센 왕국
Blood Meridian,ko,Blood Meridian
Charles William Ferdinand,ko,브라운슈바이크 공작 카를 빌헬름 페르디난트
Brunswick-Wolfenbüttel,ko,Brunswick-Wolfenbüttel
German,ko,독일어
The Mortal Instruments: City of Bones,ko,섀도우 헌터스: 뼈의 도시
The Decalogue,ko,십계명
Krzysztof Kieślowski,ko,크지슈토프 키에실로브스키
1988-1989,ko,1988-1989
Tajik Soviet Socialist Republic,ko,타지크 소비에트 사회주의 공화국
Tajikistan,ko,타지키스탄
Death and the Maiden,ko,진실 (1994년 영화)
Schubert,ko,Schubert
Love with the Proper Stranger,ko,러브 위드 더 프로퍼 스트레인저
Alexander the Great,ko,알렉산드로스 대왕
Daughters of Darkness,ko,어둠의 딸들
Kampung Boy,ko,캄풍 보이
The Master Builder,ko,건축가 솔네스
Royal Arms of England,ko,잉글랜드의 국장
9½ Weeks,ko,나인 하프 위크
Şehzade Mosque,ko,셰흐자데 모스크
Leviathan Wakes,ko,Leviathan Wakes
Melk Abbey,ko,멜크 수도원
Don't Tempt Me,ko,디오스
Yugi Mutou,ko,유희
Yu-Gi-Oh!,ko,유희왕
Great Mosque of Djenné,ko,젠네 모스크
Djenné,ko,젠네
Grudge: The Revolt of Gumiho,ko,구미호: 여우누이뎐
The Baker's Wife,ko,제빵사의 아내
The Murder at the Vicarage,ko,목사관의 살인
My Cat from Hell,ko,지옥에서 온 고양이
Catherine the Great,ko,예카테리나 2세
Dharma Drum Mountain,ko,파구산
Chinese Buddhism,ko,중국의 불교
Bubu Chacha,ko,붕붕차차
Kasou Taishou,ko,긴짱 & 카토리 싱고의 전일본 가장대상
14-sai no Haha,ko,14세의 어머니
Piano Sonata No. 6,ko,피아노 소나타 6번
Alexander Scriabin,ko,알렉산드르 스크랴빈
Scriabin,ko,알렉산드르 스크랴빈
Tales of Little Women,ko,작은 아씨들
Theodotus of Byzantium,ko,비잔티움의 테오도투스
Byzantium,ko,동로마 제국
Theodotus,ko,Theodotus
New Tales of Gisaeng,ko,신기생뎐
Austin Wai,ko,혜천사
Mariinskyi Palace,ko,마린스키궁
Galactic Republic,ko,은하 공화국
Second Age,ko,제2시대
Middle-earth,ko,가운데땅
Miracle in Cell No. 7,ko,7번방의 선물
Till Eulenspiegel,ko,틸 오일렌슈피겔
Agatha Christie,ko,애거사 크리스티
Evil Under the Sun,ko,백주의 악마
white chocolate,ko,화이트 초콜릿
milk chocolate,ko,밀크 초콜릿
dark chocolate,ko,다크 초콜릿
cod liver oil,ko,간유
Sichuan,ko,쓰촨성
Sichuan pepper,ko,화자오
The Land of Crimson Clouds,ko,선홍빛 구름의 나라
Black Bolt,ko,블랙 볼트
Marvel,ko,마블 코믹스
The Bride with White Hair 2,ko,백발마녀전 2
The Bride with White Hair,ko,백발마녀전
The Moviegoer,ko,영화광
The Passing of the Great Race,ko,위대한 인종의 소멸
The Rise of the Great Powers,ko,대국굴기
First Epistle to the Corinthians,ko,코린토 신자들에게 보낸 첫째 서간
Gyro Gearloose,ko,자이로 기어루스
How to Start Your Own Country,ko,러블리 왕국
BBC,ko,BBC
Maiden's Tower,ko,마이덴 타워
Bosphorus,ko,보스포루스
Xeropotamou Monastery,ko,크세로포타무 수도원
Asian,zh,亞洲
Koutloumousiou,ko,쿠틀루무시우 수도원
Karma's World TV series,ko,Karma's World TV series
Greek Orthodox Christianity,ko,Greek Orthodox Christianity
whole pea,ko,whole pea
Greek philosophy,ko,고대 그리스 철학
Canadian,ko,Canadian
American,ko,미국 영어
kingdom,ko,스웨덴
John I,ko,존 아일랜드
Aragon,ko,Aragon
Vongola,ko,Vongola
Chinese folklore,ko,Chinese folklore
Duke of Brunswick-Wolfenbüttel,ko,Duke of Brunswick-Wolfenbüttel
German history,ko,독일의 역사
Qin Dynasty Epic,ko,대진부
Tales of Little Women series,ko,Tales of Little Women series
Uppsala Cathedral,ko,웁살라 대성당
Bayezid II Mosque,ko,베야지드 모스크
Sheikh Lotfollah Mosque,ko,셰이크로트폴라 모스크
Taco Chronicles,ko,타코 연대기
The Mess You Leave Behind,ko,네가 남긴 혼돈
The Phenomenology of Spirit,ko,정신 현상학
Hegel,ko,Hegel
Bosnian,ko,보스니아어
Simonopetra,ko,시모노페트라 수도원
Simonopetra monastery,ko,시모노페트라 수도원
The English Working Class,ko,The English Working Class
The Making of the English Working Class,ko,영국 노동계급의 형성
Pandora's box,ko,판도라의 상자
Dragon King,ko,드루크걀포
The Carnival of the Animals,ko,동물의 사육제
Never Let Me Go,ko,Never Let Me Go
Faust Overture,ko,파우스트 서곡
Dialectical Reason,ko,Dialectical Reason
Critique of Dialectical Reason,ko,변증법적 이성 비판
The Years of Rice and Salt,ko,쌀과 소금의 시대
The Business of Drugs,ko,중독의 비즈니스
Thiên Mụ Temple,ko,티엔무 사원
Harry Potter and the Goblet of Fire,th,Harry Potter and the Goblet of Fire
Harry Potter,th,แฮร์รี่ พอตเตอร์
Goblet of Fire,th,Goblet of Fire
Sinbad: Legend of the Seven Seas,th,ซินแบด พิชิตตำนาน 7 คาบสมุทร
Mendelssohn,th,เฟลิคส์ เม็นเดิลส์โซน
Violin Concerto in E minor,th,ไวโอลินคอนแชร์โต
Hungarian,th,ภาษาฮังการี
Hungarian Dances,th,ฮังกาเรียนแดนซ์
James Bond,th,เจมส์ บอนด์
Russia,th,ประเทศรัสเซีย
From Russia with Love,th,เพชฌฆาต 007
Empress Ma,th,จักรพรรดินีหม่า
Ming Dynasty,th,ราชวงศ์หมิง
The World Between Us,th,The World Between Us
Wencheng,th,หลิว จี
The Last Lecture,th,เดอะลาสต์เลกเชอร์
The Legend of Five Goats,th,อนุสาวรีย์แพะห้าตัว
Guangzhou,th,กว่างโจว
Japanese Bridge,th,Japanese Bridge
Vietnam,th,ประเทศเวียดนาม
Japanese,th,ภาษาญี่ปุ่น
Ghost of Kyiv,th,ผีแห่งเคียฟ
Russian invasion of Ukraine,th,การรุกรานยูเครนโดยรัสเซีย
Ukraine,th,ประเทศยูเครน
Ukrainian,th,ภาษายูเครน
Robert,th,Robert
Austria-Este,th,Austria-Este
Untalkative Bunny,th,อันทอล์คาทีฟ บันนี่
World Government,th,World Government
One Piece,th,One Piece
Thomas Neuwirth,th,Thomas Neuwirth
Joan of Arc,th,ฌานแห่งอาร์ก
The Messenger,th,The Messenger
The Story of Joan of Arc,th,โจน ออฟ อาร์ค วีรสตรีเหล็กหัวใจทมิฬ
Phra Pathommachedi,th,วัดพระปฐมเจดีย์ราชวรมหาวิหาร
Romance of the Three Kingdoms,th,สามก๊ก
Oath of the Peach Garden,th,คำสาบานในสวนท้อ
Blue Thunder,th,Blue Thunder
The Little Match Girl,th,เด็กหญิงขายไม้ขีดไฟ
Symphony No. 9,th,ซิมโฟนีหมายเลข 9
Prince Gabriel,th,Prince Gabriel
Belgium,th,ประเทศเบลเยียม
Cyprus,th,ประเทศไซปรัส
White Horse Temple,th,วัดม้าขาว
Ferhat Pasha Mosque,th,มัสยิดเฟร์ฮัด-ปาชา
St. Basil's Cathedral,th,มหาวิหารเซนต์เบซิล
Pradittha Sari,th,พระเจ้าบรมวงศ์เธอ พระองค์เจ้าประดิษฐาสารี
1958,th,พ.ศ. 2501
Ladislao Vajda,th,Ladislao Vajda
Mary II,th,สมเด็จพระราชินีนาถแมรีที่ 2 แห่งอังกฤษ
England,th,ประเทศอังกฤษ
1987,th,พ.ศ. 2530
Doraemon,th,โดราเอมอน
Nobita,th,โนบิ โนบิตะ
Knights on Dinosaurs,th,Knights on Dinosaurs
Doraemon: Nobita and the Knights on Dinosaurs,th,โดราเอมอนฉบับภาพยนตร์ ตอน อัศวินมังกร
First Epistle of John,th,จดหมายของนักบุญยอห์น ฉบับที่ 1
Second Epistle of Peter,th,จดหมายของนักบุญเปโตร ฉบับที่ 2
New Testament,th,พันธสัญญาใหม่
First Epistle to Timothy,th,จดหมายของนักบุญเปาโลถึงทิโมธี ฉบับที่ 1
Cnut the Great,th,พระเจ้าคนุตมหาราช
The Cuckoo's Calling,th,เสียงเพรียกจากคักคู
Clear and Present Danger,th,แผนอันตรายข้ามโลก
My Neighbors the Yamadas,th,ยามาดะ ครอบครัวนี้ไม่ธรรมดา
Mikhail Tukhachevsky,th,มีคาอิล ตูคาเชฟสกี
Dead Sea scrolls,th,ม้วนหนังสือเดดซี
Ottokar II,th,พระเจ้าปแชมิเซิล โอตาการ์ที่ 2 แห่งโบฮีเมีย
Bohemia,th,โบฮีเมีย
Macau Mosque,th,มัสยิดและป่าช้ามาเก๊า
Salic law,th,กฎหมายแซลิก
Frankish,th,Frankish
Tell No One,th,Tell No One
Ramesses I,th,ฟาโรห์รามเสสที่หนึ่ง
pharaoh,th,pharaoh
The Invisible Man,th,มนุษย์ล่องหน
Great Synagogue,th,Great Synagogue
Czech Republic,th,ประเทศเช็กเกีย
Plzeň,th,เปิลแซ็ญ
Prince Andrew,th,เจ้าชายแอนดรูว์ ดยุกแห่งยอร์ก
Greece,th,ประเทศกรีซ
Denmark,th,ประเทศเดนมาร์ก
Queen Maria,th,มาริอา เตเรซาแห่งสเปน
Hungary,th,ประเทศฮังการี
Queen Maria of Hungary,th,มารีอาแห่งออสเตรีย สมเด็จพระราชินีแห่งฮังการีและโบฮีเมีย
Netherlands,th,ประเทศเนเธอร์แลนด์
John of Austria,th,จอห์นแห่งออสเตรีย
quail eggs,th,ไข่นกกระทา
chicken eggs,th,ไข่ไก่
Evgeny Kissin,th,เยฟกีนี คีซีน
Henry VI,th,พระเจ้าเฮนรีที่ 6 แห่งอังกฤษ
Callixtus III,th,สมเด็จพระสันตะปาปากัลลิสตุสที่ 3
Knights of the Round Table,th,อัศวินโต๊ะกลม
Arthurian romance,th,Arthurian romance
February 31,th,31 กุมภาพันธ์
February,th,กุมภาพันธ์
31,th,๓๑
Poland,th,ประเทศโปแลนด์
John VIII,th,สมเด็จพระสันตะปาปาจอห์นที่ 8
pope,th,pope
Imperial Seal of Japan,th,ตราแผ่นดินของญี่ปุ่น
Japan,th,ประเทศญี่ปุ่น
John XII,th,สมเด็จพระสันตะปาปาจอห์นที่ 12
Catholic Church,th,โรมันคาทอลิก
Slovenia,th,ประเทศสโลวีเนีย
Romania,th,ประเทศโรมาเนีย
Christ Church Cathedral,th,มหาวิหารอ๊อกซฟอร์ด
Memoirs of an Invisible Man,th,Memoirs of an Invisible Man
A Wizard of Earthsea,th,A Wizard of Earthsea
Holy Mountain of Orta,th,ภูเขาศักดิ์สิทธิ์แห่งออร์ตา
Prince of Wales,th,Prince of Wales
British,th,ภาษาเวลส์
Death Eaters,th,ผู้เสพความตาย
Lord Voldemort,th,ลอร์ดโวลเดอมอร์
Harry Potter series,th,แฮร์รี่ พอตเตอร์
A Monster Calls,th,มหัศจรรย์เรียกอสูร
Umayyad Mosque,th,มัสยิดอุมัยยะฮ์
Jolly Fellows,th,Jolly Fellows
Brazil,th,ประเทศบราซิล
veggie burger,th,เบอร์เกอร์มังสวิรัติ
hamburger,th,ฮัมบัวร์เกอร์ เอ็สเฟา
regular burger,th,regular burger
The Jungle Book,th,เมาคลีลูกหมาป่า
Malta,th,ประเทศมอลตา
rice pudding,th,ปายาส
The Canterbury Tales,th,ตำนานแคนเตอร์บรี
Temple Mount,th,เนินพระวิหาร
Old City,th,อำเภอซานาเมืองเก่า
Jerusalem,th,เยรูซาเลม
"Run, Melos!",th,วิ่ง! เมลอส วิ่ง!
Tongxin Great Mosque,th,มัสยิดใหญ่แห่งถงซิน
China,th,ประเทศจีน
North Macedonia,th,ประเทศมาซิโดเนียเหนือ
The Flintstones,th,The Flintstones
cedar tree,th,cedar tree
Lebanon,th,ประเทศเลบานอน
It's a Wonderful Life,th,อิตส์อะวันเดอร์ฟูลไลฟ์
Birmingham,th,เบอร์มิงแฮม
Sergei Kirov,th,เซียร์เกย์ คีรอฟ
Bolshevik revolution,th,การปฏิวัติเดือนตุลาคม
Soviet politics,th,Soviet politics
The Fellowship of the Ring,th,อภินิหารแหวนครองพิภพ
South Sudan,th,ประเทศเซาท์ซูดาน
Ooops!,th,Ooops!
Noah Is Gone,th,Noah Is Gone
Ooops! Noah Is Gone,th,ก๊วนซ่าป่วนวันสิ้นโลก
Noah,th,Noah
Jamaica,th,ประเทศจาเมกา
Edward VII,th,สมเด็จพระเจ้าเอ็ดเวิร์ดที่ 7 แห่งสหราชอาณาจักร
United Kingdom,th,สหราชอาณาจักร
After the quake,th,อาฟเตอร์เดอะเควก
To Kill a Mockingbird,th,พิพากอธรรม
1812 Overture,th,1812 โอเวอร์เชอร์
The Little Mermaid,th,The Little Mermaid
First Time,th,First Time
President of Russia,th,ประธานาธิบดีรัสเซีย
The Ugly American,th,อเมริกันอันตราย
The Birth of a Nation,th,เดอะ เบิร์ธ ออฟ อะ เนชั่น
Butterfly Lovers,th,ม่านประเพณี
Chinese,th,กลุ่มภาษาจีน
Butterfly Lovers' Violin Concerto,th,ม่านประเพณีไวโอลินคอนแชร์โต
Snake in the Eagle's Shadow,th,ไอ้หนุ่มพันมือ
Garuda Aiacos,th,การูด้า ไออาคอส
Saint Seiya,th,เซนต์เซย์ย่า
John,th,John
John XV,th,สมเด็จพระสันตะปาปาจอห์นที่ 15
Android 18,th,มนุษย์จักรกล หมายเลข 18
Dragon Ball,th,ดราก้อนบอล
Joan I of Navarre,th,สมเด็จพระราชินีนาถโยอานาที่ 1 แห่งนาวาร์
Navarre,th,แคว้นนาวาร์
Joan I,th,Joan I
Prince Oscar,th,เจ้าชายคาร์ล ดยุกแห่งเวสเตร์เกิตลันด์
Skåne,th,สกัวเนอ
palm oil,th,น้ำมันปาล์ม
The Dream-Quest of Unknown Kadath,th,เดอะดรีมเควสต์ออฟอันโนนคาดัธ
building codes,th,building codes
building code,th,บทบัญญัติอาคาร
Joanna I,th,Joanna I
Naples,th,เนเปิลส์
Joanna I of Naples,th,สมเด็จพระราชินีนาถโจวันนาที่ 1 แห่งเนเปิลส์
Petronilla of Aragon,th,เปโตรนิยาแห่งอารากอน
Aragón,th,ราชบัลลังก์อารากอน
Barcelona,th,บาร์เซโลนา
Princess Cecilie,th,Princess Cecilie
bay leaf,th,ใบกระวาน
Queen Noor,th,สมเด็จพระราชินีนูร์แห่งจอร์แดน
Jordan,th,Jordan
Princess Marie Louise,th,เจ้าหญิงมารี หลุยส์แห่งบูร์บง-ปาร์มา
Schleswig-Holstein,th,รัฐชเลสวิช-ฮ็อลชไตน์
Sherlock Holmes: A Game of Shadows,th,เชอร์ล็อค โฮล์มส์ เกมพญายมเงามรณะ
Ronin Warriors,th,ซามูไรทรูปเปอร์
House of Finwë,th,ราชวงศ์ฟินเว
Tolkien's mythology,th,Tolkien's mythology
Matrix of Leadership,th,Matrix of Leadership
Transformers,th,ทรานส์ฟอร์มเมอร์ส
The Scorpion King 3: Battle for Redemption,th,เดอะ สกอร์เปี้ยน คิง 3 สงครามแค้นกู้บัลลังก์เดือด
The Mass at Bolsena,th,พิธีมิสซาที่บอลเซนา
Raphael,th,Raphael
Bolsena,th,Bolsena
Wat Phichayayatikaram,th,วัดพิชยญาติการามวรวิหาร
Cardinal and Theological Virtues,th,คุณธรรมสามอย่าง
Cardinal,th,พระคาร์ดินัล
Theological Virtues,th,คุณธรรมทางเทววิทยา
Princess Elizabeth of Serbia,th,เจ้าหญิงเอลิซาเบธแห่งยูโกสลาเวีย
Serbia,th,ประเทศเซอร์เบีย
Oriental Heroes,th,สำนักพยัคฆ์มังกร
Andechs Abbey,th,อารามอันเด็คส์
Royal Badge of Wales,th,ตราแผ่นดินของเวลส์
Welsh,th,ภาษาเวลส์
Digimon: The Movie,th,ดิจิมอนแอดเวนเจอร์ วอร์เกมส์ของพวกเรา
The Fortune Teller,th,The Fortune Teller
Caravaggio,th,การาวัจโจ
Xi,th,11
Zhou,th,Zhou
Council of Elrond,th,Council of Elrond
Lord of the Rings,th,เดอะลอร์ดออฟเดอะริงส์
Battle of Moscow,th,ยุทธการมอสโก
Princess Astrid,th,สมเด็จพระราชินีอัสตริดแห่งเบลเยียม
Mrs. Ferner,th,Mrs. Ferner
King Harald V,th,King Harald V
The Goose That Laid the Golden Eggs,th,ห่านที่วางไข่ทองคำ
By His Bootstraps,th,วัฏจักรเวลา
Peter Krešimir IV,th,สมเด็จพระเจ้าเปตาร์ เครซิเมียร์ที่ 4 แห่งโครเอเชีย
Croatia,th,ประเทศโครเอเชีย
Saint John's Abbey,th,แอบบีเซนต์จอห์น (คอลเลจวิลล์)
sea salt,th,เกลือสมุทร
table salt,th,เกลือ
Case Closed,th,ยอดนักสืบจิ๋วโคนัน
Case Closed: Captured in Her Eyes,th,คดีฆาตกรรมนัยน์ตามรณะ
Pui Pui Molcar series,th,Pui Pui Molcar series
Pui Pui Molcar,th,PUI PUI มอลก้า
The Accidental Billionaires,th,ดิ แอคซิเดนทัล บิลเลียนแนร์
Percy Jackson,th,เพอร์ซีย์ แจ็กสัน
The Olympians,th,The Olympians
The Sea of Monsters,th,The Sea of Monsters
Percy Jackson & The Olympians - The Sea of Monsters,th,เพอร์ซีย์ แจ็กสัน กับอาถรรพ์ทะเลปีศาจ (ภาพยนตร์)
Percy Jackson & The Olympians,th,เพอร์ซีย์ แจ็กสัน
Georgy Gapon,th,เกออร์กี กาปอน
1905,th,พ.ศ. 2448
Russian Revolution,th,การปฏิวัติรัสเซีย
Cho Byeong-kyu,th,โช บย็อง-กยู
Gregory the Illuminator,th,เกรกอรี ผู้ให้ความกระจ่าง
Armenian Apostolic Church,th,คริสตจักรอัครทูตอาร์มีเนีย
Armenian Church,th,Armenian Church
The Clown Princess,th,ลิขิตรัก
Thai television,th,ละครโทรทัศน์ไทย
Geoffrey II,th,เจฟฟรีที่ 2 ดยุกแห่งบริตานี
Brittany,th,Brittany
Senakhtenre Ahmose,th,ฟาโรห์ทาโอที่หนึ่ง
Egypt,th,ประเทศอียิปต์
Prince Alexander of Serbia,th,เจ้าชายอเล็กซานเดอร์แห่งยูโกสลาเวีย (พ.ศ. 2467–2559)
Serbian royal family,th,Serbian royal family
Kamen Rider Fourze the Movie,th,"มาสค์ไรเดอร์โฟร์เซ เดอะ มูฟวี่ Everyone, Space is here!"
"Kamen Rider Fourze the Movie: Space, Here We Come!",th,"มาสค์ไรเดอร์โฟร์เซ เดอะ มูฟวี่ Everyone, Space is here!"
The Two Towers,th,ลอร์ดออฟเดอะริงส์ ตอน หอคอยคู่พิฆาต
St Albans Cathedral,th,อาสนวิหารนักบุญออลบัน
Prince Pedro,th,เจ้าชายเปรโด ดยุกแห่งกาลาเบรีย
Bourbon-Two Sicilies,th,ราชวงศ์บูร์บง-ซิซิลีทั้งสอง
Grim Tuesday,th,อังคารอหังการ
Adela of France,th,อาแดลแห่งฝรั่งเศส
France,th,ประเทศฝรั่งเศส
Normandy,th,นอร์ม็องดี
Flanders,th,Flanders
Lion Capital of Asoka,th,หัวเสาอโศกรูปสิงห์
Asoka,th,พระเจ้าอโศกมหาราช
Teenage Mom: The Series,th,คุณแม่วัยใส The Series
Quotations from Chairman Mao Tse-tung,th,คติพจน์จากประธานเหมา เจ๋อตง
Chairman Mao Tse-tung,th,Chairman Mao Tse-tung
The Lion King,th,เดอะไลอ้อนคิง
Violin Concerto,th,Violin Concerto
Tchaikovsky,th,ปิออตร์ อิลิช ไชคอฟสกี
The Gods Themselves,th,The Gods Themselves
Salisbury Cathedral,th,มหาวิหารซอลส์บรี
Gospel of Matthew,th,พระวรสารนักบุญมัทธิว
Ptolemy VI,th,ปโตเลมีที่ 6
Egyptian,th,ภาษาอียิปต์
Wait for Me,th,Wait for Me
White Tree of Gondor,th,พฤกษาขาวแห่งกอนดอร์
Middle-earth,th,มิดเดิลเอิร์ธ
White Tree,th,White Tree
Gondor,th,กอนดอร์
Book of Numbers,th,หนังสือกันดารวิถี
Prince Wilhelm,th,เจ้าชายวิลเฮ็ล์ม เจ้าชายแห่งวีท
Södermanland,th,เซอเดอร์มันลันด์
Anthem of the Byelorussian Soviet Socialist Republic,th,เพลงชาติสาธารณรัฐสังคมนิยมโซเวียตเบียโลรัสเซีย
Byelorussian,th,ภาษาเบลารุส
sockeye salmon,th,ปลาแซลมอนซ็อกอาย
The Light of Asia,th,ประทีปแห่งเอเชีย
Old New Synagogue,th,โบสถ์ยิวใหม่เก่า
Prague,th,ปราก
Jewish community,th,ชาวยิว
"Yes, Madam",th,โอ้โห ซือเจ๊
Prince Charles,th,สมเด็จพระเจ้าชาลส์ที่ 3 แห่งสหราชอาณาจักร
